Facility Code,Facility Name,Land Location,Township,Range,Meridian,Latitude,Longitude,CAPACITY (MW),ADDRESS,Area
262S,ROCKYMOUNTAINHOUSE,39-7-W 5,39,7,5,52.34783,-114.86153,,,AB
263S,STRACHAN,38-9-W 5,38,9,5,52.26087,-115.12662,,,AB
264S,ELKWATER,10-5-W 4,10,5,4,49.82609,-110.59645,,,AB
266S,SC1,14-27-W 4,14,27,4,50.17391,-113.51241,,,AB
267S,KILLARNEYLAKE,42-3-W 4,42,3,4,52.6087,-110.33136,,,AB
268S,WHITECOURT,60-12-W 5,60,12,5,54.17391,-115.52425,,,AB
269S,WYNDHAM(CARSELANDCO-GEN),22-26-W 4,22,26,4,50.86957,-113.37987,,,AB
271S,JUMPINGPOUND,25-5-W 5,25,5,5,51.13043,-114.59645,,,AB
272S,SPRINGBANK,24-4-W 5,24,4,5,51.04348,-114.4639,,,AB
275S,JENNER,20-8-W 4,20,8,4,50.69565,-110.99408,,,AB
276S,UNIONCARBIDEPRENTISS,39-25-W 4,39,25,4,52.34783,-113.24732,,,AB
277S,HAYTER,41-1-W 4,41,1,4,52.52174,-110.06627,,,AB
279S,AHS01,86-10-W 4,86,10,4,56.43478,-111.25917,,,AB
281S,JOHNSON,31-2-W 5,31,2,5,51.65217,-114.19882,,,AB
282S,GRASSLAND,68-19-W 4,68,19,4,54.86957,-112.45206,,,AB
283S,VIOLETGROVE,48-7-W 5,48,7,5,53.13043,-114.86153,,,AB
284S,NOSECREEK,28-1-W 5,28,1,5,51.3913,-114.06627,,,AB
285S,EASTCAMROSE,47-19-W 4,47,19,4,53.04348,-112.45206,,,AB
286S,YASA,53-23-W 4,53,23,4,53.56522,-112.98223,,,AB
287S,HAZELWOOD,35-27-W 4,35,27,4,52,-113.51241,,,AB
288S,WOLFCREEK,43-25-W 4,43,25,4,52.69565,-113.24732,,,AB
289S,SAUNDERSLAKE,50-24-W 4,50,24,4,53.30435,-113.11478,,,AB
291S,COCHRANE,25-4-W 5,25,4,5,51.13043,-114.4639,,,AB
293S,BERNESE,52-23-W 4,52,23,4,53.47826,-112.98223,,,AB
294S,BRAZEAUOUTLETWORKS,46-11-W 5,46,11,5,52.95652,-115.39171,,,AB
296S,ROSYTH,42-9-W 4,42,9,4,52.6087,-111.12662,,,AB
297S,RIMBEY,42-2-W 5,42,2,5,52.6087,-114.19882,,,AB
299S,KINGMAN,49-20-W 4,49,20,4,53.21739,-112.5846,,,AB
301S,QUEENSLAND,49-20-W 4,49,20,4,53.21739,-112.5846,,,AB
302S,CARDINALRIVER,47-24-W 5,47,24,5,53.04348,-117.11478,,,AB
303S,SADDLEBROOK,19-28-W 4,19,28,4,50.6087,-113.64495,,,AB
304S,LIMESTONE,33-10-W 5,33,10,5,51.82609,-115.25917,,,AB
305S,ACHESON,52-26-W 4,52,26,4,53.51305531,-113.7758486,,,AB
306S,HALSBURY,21-8-W 4,21,8,4,50.78261,-110.99408,,,AB
308S,ALBCHEMBEAVERHILLCREEK,55-20-W 4,55,20,4,53.73913,-112.5846,,,AB
309S,ANTHONYHENDAY,53-23-W 4,53,23,4,53.56522,-112.98223,,,AB
310P,SUNDANCE,52-4-W 5,52,4,5,53.47826,-114.4639,,,AB
312S,FIDLER,7-29-W 4,7,29,4,49.56522,-113.7775,,,AB
