Well_ID,UWI,Area,Surf_Latitude,Surf_Longitude,Well_Status_Text,Well_Status_Group,Available_Volume_m3,Legal Subdivisions,Section,Township,Range,Meridian,Crooked_Hole_TF,Deviated_Hole_TF,Horizontal_Hole_TF,Burst_Pressure_psi,Format,STRM,orphan
131/01-35-011-04W2/00,131/01-35-011-04W2,SK,49.94873,-102.44232,Susp OIL Prod,SUSP,17.404831861085057,1,35,11,4,2,F,F,F,,ATS,35-11-4-2,0
131/01-35-032-23W3/00,131/01-35-032-23W3,SK,51.78299,-109.15229,Susp OIL Prod,SUSP,7.244143474917376,1,35,32,23,3,F,F,F,,ATS,35-32-23-3,0
131/01-35-039-27W3/00,131/01-35-039-27W3,SK,52.39405,-109.77342,Susp OIL Prod,SUSP,11.495925932024477,1,35,39,27,3,F,F,F,,ATS,35-39-27-3,0
131/01-35-045-23W3/00,131/01-35-045-23W3,SK,52.91769,-109.22631,Susp OIL Prod,SUSP,16.08897587630375,1,35,45,23,3,F,F,F,,ATS,35-45-23-3,0
131/01-35-048-20W3/00,131/01-35-048-20W3,SK,53.17917,-108.8125,Susp OIL Prod,SUSP,10.552183252205392,1,35,48,20,3,F,F,F,,ATS,35-48-20-3,0
131/01-35-052-24W3/02,131/01-35-052-24W3,SK,53.52916,-109.42595,Susp GAS Prod,SUSP,7.324456610354331,1,35,52,24,3,F,F,F,,ATS,35-52-24-3,0
131/01-36-016-18W3/00,131/01-36-016-18W3,SK,50.38535,-108.34611,Susp OIL Prod,SUSP,14.906383958525073,1,36,16,18,3,F,F,F,,ATS,36-16-18-3,0
131/01-36-032-27W3/00,131/01-36-032-27W3,SK,51.78246,-109.69439,Act OIL Prod,IDLE,13.071634179773964,1,36,32,27,3,F,F,F,,ATS,36-32-27-3,0
131/01-36-044-23W3/02,131/01-36-044-23W3,SK,52.83065,-109.20264,Susp OIL Prod,SUSP,13.22374776499904,1,36,44,23,3,F,F,F,,ATS,36-44-23-3,0
131/02-01-011-05W2/02,131/02-01-011-05W2,SK,49.87833,-102.55593,Susp OIL Prod,SUSP,7.163549025566256,2,1,11,5,2,F,F,T,,ATS,1-11-5-2,0
131/02-01-027-29W3/00,131/02-01-027-29W3,SK,51.2734,-109.95247,Susp OIL Prod,SUSP,22.46994316057854,2,1,27,29,3,F,F,F,,ATS,1-27-29-3,0
131/02-01-048-22W3/02,131/02-01-048-22W3,SK,53.10623,-109.08798,ABD OIL,ABD,10.775641250487388,2,1,48,22,3,F,F,F,,ATS,1-48-22-3,0
131/02-01-049-25W3/00,131/02-01-049-25W3,SK,53.19361,-109.52667,Susp OIL Prod,SUSP,14.00336789233845,2,1,49,25,3,F,F,F,,ATS,1-49-25-3,0
131/02-02-031-20W3/00,131/02-02-031-20W3,SK,51.62314,-108.73254,Act OIL Prod,IDLE,7.13640479717427,2,2,31,20,3,F,F,F,,ATS,2-31-20-3,0
131/02-02-031-23W3/00,131/02-02-031-23W3,SK,51.62223,-109.15649,Susp GAS Prod,SUSP,7.931618847182906,2,2,31,23,3,F,F,F,,ATS,2-31-23-3,0
131/02-02-036-27W3/00,131/02-02-036-27W3,SK,52.05664,-109.74757,Susp OIL Prod,SUSP,19.40608571746761,2,2,36,27,3,F,T,F,,ATS,2-36-27-3,0
